method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
A_box,busi_c4322390d6,busi,0.8683147430419922,1,1,0.9295165394402035,0.868314713572617,5.0,2.109949897637993,0.5831390507910076,0.0,,
A_box__detstats,busi_c4322390d6,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_c4322390d6,busi,0.8698858022689819,1,1,0.9304159776109909,0.8698858230256898,4.47213595499958,2.07244665716839,0.5745166402535657,0.0002544529262086514,,
A_otsu__detstats,busi_c4322390d6,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_c4322390d6,busi,0.8698858022689819,1,1,0.9304159776109909,0.8698858230256898,4.47213595499958,2.07244665716839,0.5745166402535657,0.0002544529262086514,,
A_otsu_fb__detstats,busi_c4322390d6,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_c4322390d6,busi,0.8698858022689819,1,1,0.9304159776109909,0.8698858230256898,4.47213595499958,2.07244665716839,0.5745166402535657,0.0002544529262086514,,
A_select__detstats,busi_c4322390d6,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_c4322390d6,busi,0.894178569316864,1,1,0.9441333506967053,0.894178589047854,5.907023542164904,1.6137330885097403,0.8132513595068661,0.046055979643765906,,
B_seg__detstats,busi_c4322390d6,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_c4322390d6,busi,0.8252591490745544,1,1,0.9042651831247103,0.8252591495663212,8.593577038783863,3.0312516462059667,0.4955300694336609,0.19541984732824427,,
SAM_edgesam__detstats,busi_c4322390d6,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_c4322390d6,busi,0.7514827847480774,1,1,0.8581103962072468,0.7514827995255041,348.0,43.524581540256,0.3337423312883436,0.25419847328244277,,
SAM_efficientvit-t__detstats,busi_c4322390d6,busi,,1,1,,,,,,,0.0,0.0
A_box,busi_a3108459ab,busi,0.8610432147979736,1,1,0.9253339172323188,0.8610431947840261,5.0,1.8096936935583252,0.6476190476190475,0.07055344317701732,,
A_box__detstats,busi_a3108459ab,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_a3108459ab,busi,0.8317907452583313,1,1,0.9081722319859402,0.8317907444668008,5.0,2.2245454978528065,0.496536312849162,0.07689057879171948,,
A_otsu__detstats,busi_a3108459ab,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_a3108459ab,busi,0.8317907452583313,1,1,0.9081722319859402,0.8317907444668008,5.0,2.2245454978528065,0.496536312849162,0.07689057879171948,,
A_otsu_fb__detstats,busi_a3108459ab,busi,,1,1,,,,,,,0.0,0.0
