method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
A_box,busi_c4322390d6,busi,0.8683147430419922,1,1,0.9295165394402035,0.868314713572617,5.0,2.109949897637993,0.5831390507910076,0.0,,
A_box__detstats,busi_c4322390d6,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_c4322390d6,busi,0.894178569316864,1,1,0.9441333506967053,0.894178589047854,5.907023542164904,1.6137330885097403,0.8132513595068661,0.046055979643765906,,
B_seg__detstats,busi_c4322390d6,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_c4322390d6,busi,0.8802816867828369,1,1,0.9363295880149812,0.8802816901408451,4.242640687119285,1.875615265049652,0.6677692863389224,0.09770992366412214,,
SAM_edgesam__detstats,busi_c4322390d6,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_c4322390d6,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_c4322390d6,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_a3108459ab,busi,0.8610432147979736,1,1,0.9253339172323188,0.8610431947840261,5.0,1.8096936935583252,0.6476190476190475,0.07055344317701732,,
A_box__detstats,busi_a3108459ab,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_a3108459ab,busi,0.8855640888214111,1,1,0.9393094574308385,0.8855640921957137,3.18444134093314,1.4677843308397875,0.7000000000000001,0.02999577524292353,,
B_seg__detstats,busi_a3108459ab,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_a3108459ab,busi,0.8048373460769653,1,1,0.8918669131238447,0.804837364470392,6.708203932499369,2.546305467677413,0.5745963579303794,0.17152513730460497,,
SAM_edgesam__detstats,busi_a3108459ab,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_a3108459ab,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_a3108459ab,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_6ca345f4b1,busi,0.8876475691795349,1,2,0.9404801936915731,0.8876475815665863,6.0,2.244002053627721,0.574331151125936,0.03476077187417394,,
A_box__detstats,busi_6ca345f4b1,busi,,1,2,,,,,,,0.0,1.0
B_seg,busi_6ca345f4b1,busi,0.7945412397384644,1,3,0.885509028541842,0.794541231126597,11.0,4.33015268082056,0.2608160032851319,0.04216230504890299,,
B_seg__detstats,busi_6ca345f4b1,busi,,1,3,,,,,,,0.0,2.0
