method,uid,dataset,modality,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,pred_pt_err,n_miss,n_fp,rough_pt_err
yolo26n_seg,busi_c4322390d6,busi,breast,0.894178569316864,1,1,0.9441333506967053,0.894178589047854,5.907023542164904,1.6137330885097403,0.8132513595068661,0.046055979643765906,1.3368016481399536,,,
yolo26n_seg__detstats,busi_c4322390d6,busi,breast,,1,1,,,,,,,,0.0,0.0,
seg_refiner,busi_c4322390d6,busi,breast,0.9205115437507629,1,1,0.9586107846977412,0.9205115346038114,3.1622776601683795,1.2025485855200553,0.8079974221663009,0.05114503816793893,1.3106601238250732,,,1.6360739469528198
seg_refiner__detstats,busi_c4322390d6,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner,busi_c4322390d6,busi,breast,0.8698858022689819,1,1,0.9304159776109909,0.8698858230256898,4.47213595499958,2.07244665716839,0.5745166402535657,0.0002544529262086514,2.269651412963867,,,8.126031875610352
refiner__detstats,busi_c4322390d6,busi,breast,,1,1,,,,,,,,0.0,0.0,
rough_otsu,busi_c4322390d6,busi,breast,0.6602822542190552,1,1,0.7953855494839102,0.6602822580645161,15.652475842498529,7.458493725064031,0.09061488673139158,0.5145038167938931,8.152881622314453,,,8.152881622314453
rough_otsu__detstats,busi_c4322390d6,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner_box,busi_c4322390d6,busi,breast,0.8683147430419922,1,1,0.9295165394402035,0.868314713572617,5.0,2.109949897637993,0.5831390507910076,0.0,2.331477165222168,,,8.341043472290039
refiner_box__detstats,busi_c4322390d6,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner_gtbox,busi_c4322390d6,busi,breast,0.913930356502533,1,1,0.9550298934234468,0.9139303482587064,3.1622776601683795,1.32396742337439,0.7827463395330431,0.042239185750636135,1.4287302494049072,,,2.567046880722046
refiner_gtbox__detstats,busi_c4322390d6,busi,breast,,1,1,,,,,,,,0.0,0.0,
rough_otsu_gtbox,busi_c4322390d6,busi,breast,0.8442185521125793,1,1,0.9155298332644344,0.8442185514612452,6.082762530298219,2.552477825352815,0.5212797182271793,0.1534351145038168,2.548402786254883,,,2.548402786254883
