uid,dataset,best_iou,best_conf,hit25,hit_lowconf,area_ratio,diag,contrast,w,h
busi_c4322390d6,busi,0.8293356341673856,0.8815726637840271,1.0,1.0,0.008750718093278646,104.10091258005379,114.1466148962624,89,54
busi_a3108459ab,busi,0.984375,0.7704604268074036,1.0,1.0,0.015753219526804432,78.2368199762746,102.70812154346422,64,45
busi_6ca345f4b1,busi,0.7881869743790338,0.738539457321167,1.0,1.0,0.019104613286872206,165.4962235218677,60.4669887162053,155,58
busi_9460d57994,busi,0.7533265097236438,0.6732606887817383,1.0,1.0,0.011225078266600758,120.61509026651682,77.96329990312839,92,78
busi_bd7080a2a6,busi,0.7601359553289634,0.7175580263137817,1.0,1.0,0.012883700821444011,129.80754985747168,85.35756238459456,103,79
busi_479bc9d958,busi,0.6158959649598822,0.24702537059783936,0.0,1.0,0.2642503279876246,413.7172947799016,9.5255670915367,321,261
busi_5f2389aed3,busi,0.8759082759271491,0.5543177723884583,1.0,1.0,0.019282292584524966,147.87156589419075,77.63855675071912,121,85
busi_7432afad2c,busi,0.906801007556675,0.8215892910957336,1.0,1.0,0.034709754637941355,176.207264322445,61.540232394062286,157,80
busi_98197bf517,busi,0.9482758620689655,0.3589016795158386,1.0,1.0,0.006323229405499088,82.13403679352427,116.03320428955011,61,55
busi_4e9b7d897c,busi,0.8985507246376812,0.7632355093955994,1.0,1.0,0.007984991317290994,76.84399781375251,90.08048108114303,63,44
busi_881775a5f8,busi,0.0,0.0,0.0,0.0,0.0048807231493367565,77.80102827083971,50.157836539226444,62,47
busi_11c694f20f,busi,0.7627952755905512,0.37095746397972107,1.0,1.0,0.005305785815004428,64.88451279003334,55.55024158660599,57,31
busi_dcf573aebc,busi,0.9028858578607323,0.8495827317237854,1.0,1.0,0.09419321685508736,272.4261367783936,103.52673955018119,230,146
busi_25d8683937,busi,0.8779507785032646,0.5894798040390015,1.0,1.0,0.01071401529491936,89.69392398596462,76.15242762447632,77,46
busi_a2e0eb1c41,busi,0.815677966101695,0.6174373626708984,1.0,1.0,0.004983704078726703,70.0,62.75134164777022,56,42
busi_0d51c07bd5,busi,0.7019083132265848,0.0417742021381855,0.0,1.0,0.03435896281624201,329.84845004941286,71.6278186981016,320,80
busi_3aa2ecd082,busi,0.9282786885245902,0.8738912343978882,1.0,1.0,0.10228023238892682,324.96769070170654,27.344831794001436,302,120
busi_f89428ed30,busi,0.9047565752658087,0.849861204624176,1.0,1.0,0.05597503271921877,215.87033144922904,26.765575243544376,198,86
busi_42f20b000b,busi,0.8713618754345882,0.7397591471672058,1.0,1.0,0.08701442283531836,318.8181299738144,54.34725636414924,307,86
busi_e236c55059,busi,0.9055253150398926,0.7822918891906738,1.0,1.0,0.031787497304738684,166.715326230074,35.198453047294834,137,95
busi_d07111ff97,busi,0.365611245208008,0.0475592240691185,0.0,0.0,0.027708261584969196,160.85086260259843,25.03785993148523,148,63
busi_5297c4215c,busi,0.9244278871740287,0.5704774856567383,1.0,1.0,0.045064296377124585,208.35546549106888,25.448782528343074,194,76
busi_b5c3b1d7df,busi,0.8288120654196455,0.8940126895904541,1.0,1.0,0.054265234599232604,239.0815760362977,80.52787083066727,226,78
busi_16e7d3f1d9,busi,0.8869982547993019,0.6705978512763977,1.0,1.0,0.08303571428571428,272.45917125323564,19.521503228907136,247,115
busi_f0ca639c01,busi,0.6533036377134372,0.017150919884443283,0.0,1.0,0.07353610782260268,243.58981916328113,23.692736956374247,206,130
busi_22c13c0f43,busi,0.783983983983984,0.014562336727976799,0.0,1.0,0.014806917791992419,99.28242543370907,15.256552430570885,89,44
busi_6b1c7c6449,busi,0.9239704329461457,0.8618924617767334,1.0,1.0,0.02464472416741528,149.60280746028798,55.834392554541026,141,50
busi_b83f3d49c5,busi,0.8556745182012848,0.8413455486297607,1.0,1.0,0.03737685319378105,137.59360450253493,37.20416356041512,116,74
busi_929cf0f851,busi,0.8441138421733506,0.4789324998855591,1.0,1.0,0.005505524546595869,55.226805085936306,89.20521474795906,47,29
