uid,dataset,stage,dice
busi_c4322390d6,busi,otsu_iou50,0.7953855494839102
busi_a3108459ab,busi,otsu_iou50,0.8790864308105687
busi_6ca345f4b1,busi,otsu_iou50,0.8636489097433067
busi_9460d57994,busi,otsu_iou50,0.8459144865737006
busi_bd7080a2a6,busi,otsu_iou50,0.8045690550363448
busi_479bc9d958,busi,det_miss,0.0
busi_5f2389aed3,busi,otsu_iou50,0.8418373838910803
busi_7432afad2c,busi,otsu_iou50,0.9190651374161437
busi_98197bf517,busi,otsu_iou50,0.8807669263031755
busi_4e9b7d897c,busi,otsu_iou50,0.9041947177628172
busi_881775a5f8,busi,det_miss,0.0
busi_11c694f20f,busi,otsu_iou50,0.8018181818181818
busi_dcf573aebc,busi,otsu_iou50,0.9205162766000898
busi_25d8683937,busi,otsu_iou50,0.913993655269651
busi_a2e0eb1c41,busi,otsu_iou50,0.8922305764411027
busi_0d51c07bd5,busi,otsu_iou50,0.8312140478353013
busi_3aa2ecd082,busi,otsu_iou50,0.8196824257647798
busi_f89428ed30,busi,otsu_iou50,0.8564131455399061
busi_42f20b000b,busi,otsu_iou50,0.8927136851938346
busi_e236c55059,busi,otsu_iou50,0.8649173955296404
busi_d07111ff97,busi,det_miss,0.0
busi_5297c4215c,busi,otsu_iou50,0.8945070796796113
busi_b5c3b1d7df,busi,otsu_iou50,0.880959198282033
busi_16e7d3f1d9,busi,otsu_iou50,0.8817311103228095
busi_f0ca639c01,busi,det_miss,0.0
busi_22c13c0f43,busi,det_miss,0.0
busi_6b1c7c6449,busi,otsu_iou50,0.8881110985661059
busi_b83f3d49c5,busi,otsu_iou50,0.8735057426361434
busi_929cf0f851,busi,otsu_iou50,0.7841921735761332
busi_b0824ba0e4,busi,det_miss,0.0
busi_cb24e22b98,busi,otsu_iou50,0.8442772702847932
busi_034a4514ed,busi,otsu_iou50,0.8529913741408737
busi_1541b9855b,busi,otsu_iou50,0.8496913848561245
busi_7142c7617d,busi,otsu_iou50,0.8062183658712943
busi_5ea67a72a7,busi,det_miss,0.0
busi_328c7cf02a,busi,otsu_iou50,0.8886377611220979
busi_884f21854c,busi,otsu_iou50,0.8723000495570087
busi_702d535cb8,busi,otsu_iou50,0.8567268294334767
busi_7ad36ab93e,busi,otsu_iou50,0.8175750834260289
busi_fb599a827f,busi,otsu_iou50,0.7493792551061274
busi_26b35ce6c2,busi,otsu_iou50,0.8638045891931903
busi_4058304b16,busi,otsu_iou50,0.8507209499575912
busi_dc9eed528c,busi,otsu_iou50,0.915031534688157
busi_15283493c7,busi,det_miss,0.0
busi_de9fa69171,busi,otsu_iou50,0.8241848271341963
busi_1af81235cf,busi,otsu_iou50,0.931625763583753
busi_0e203e8363,busi,otsu_iou50,0.8236809072414838
busi_8c1f838d6c,busi,otsu_iou50,0.8353088561241206
busi_cfd961e96d,busi,otsu_iou50,0.911504424778761
busi_6d2d131466,busi,otsu_iou50,0.8692756036636137
busi_873f42e663,busi,otsu_iou50,0.9387609718865284
busi_22d1a239ff,busi,otsu_iou50,0.7332447058507567
busi_888dc0e64a,busi,otsu_iou50,0.7131300560049783
busi_62445ce52f,busi,otsu_iou50,0.7755747206122958
busi_31157c7321,busi,otsu_low_iou,0.6490564285880086
busi_31341a9960,busi,otsu_iou50,0.926063008189316
busi_6e82f75987,busi,otsu_iou50,0.91075203324854
busi_f5cba98f1d,busi,otsu_iou50,0.6805513232226155
busi_70e63630b2,busi,otsu_iou50,0.8690696603235101
busi_d6ece3a2e2,busi,otsu_iou50,0.9055844643527707
busi_21ebb876bc,busi,otsu_iou50,0.7770075101097631
busi_7a078fba05,busi,otsu_iou50,0.9321010345008665
busi_a262591d26,busi,otsu_iou50,0.9406357221466951
busi_b7e3e20601,busi,otsu_iou50,0.9600366822906052
busi_1e01f78c06,busi,otsu_iou50,0.8270645847755301
busi_a0d580339e,busi,det_miss,0.0
busi_c9ddf3ff26,busi,otsu_iou50,0.8159565012809118
busi_086f5ac9a7,busi,otsu_low_iou,0.6295597696116407
busi_55fa62f005,busi,otsu_iou50,0.7524151535076627
busi_f8c677f4cb,busi,otsu_iou50,0.8278801209788287
busi_60618b0cf0,busi,det_miss,0.0
busi_93193f654b,busi,otsu_iou50,0.8739217050642926
busi_7dcb196d66,busi,otsu_iou50,0.8679947069132006
busi_9289e3083c,busi,otsu_iou50,0.6953535353535354
busi_6ecd547c0d,busi,otsu_iou50,0.7819213802863553
busi_074ac11fc4,busi,det_miss,0.0
busi_a3204ccbe7,busi,otsu_iou50,0.7757037911445104
busi_e760baac79,busi,otsu_iou50,0.8835879567586885
busi_d7a8d6043b,busi,otsu_low_iou,0.6287640912132599
busi_bd0084d2eb,busi,det_miss,0.0
busi_1b904e1d39,busi,otsu_iou50,0.8268708509354254
busi_0cc200cd76,busi,otsu_low_iou,0.5365623440892113
busi_bad20acd54,busi,otsu_iou50,0.8346556314083133
busi_1cd1fff51b,busi,otsu_iou50,0.7052741263225393
busi_daf74cbea5,busi,otsu_iou50,0.7367713257674915
busi_d083e06533,busi,otsu_iou50,0.8956156156156156
busi_1f6bafb28c,busi,det_miss,0.0
busi_ff6b3c8040,busi,otsu_iou50,0.8313653502679103
busi_e0e8a1f5f7,busi,otsu_iou50,0.9212272837833142
busi_e77460c93f,busi,otsu_low_iou,0.5691454788759319
ddti_98ad2517b3,ddti,otsu_low_iou,0.19929786659465298
ddti_56e6cc05a6,ddti,otsu_iou50,0.78332368268674
ddti_c835c6acf9,ddti,otsu_low_iou,0.2691649400954869
ddti_d02b6359c9,ddti,otsu_iou50,0.9147418067480952
ddti_c066535241,ddti,otsu_low_iou,0.18414121602689829
ddti_d9658bd3e1,ddti,otsu_low_iou,0.30483619344773794
ddti_b8dcef923d,ddti,otsu_low_iou,0.5373034085184978
ddti_22ffb08a0b,ddti,otsu_iou50,0.7452518777209013
ddti_a517b62f3e,ddti,otsu_low_iou,0.6320371259401504
ddti_1b0bfd8a9f,ddti,otsu_iou50,0.8272127733425894
ddti_cfa286754f,ddti,otsu_iou50,0.7768388106416275
ddti_9a98bb878f,ddti,otsu_iou50,0.7479310559392695
ddti_ade13232ad,ddti,otsu_iou50,0.8467773060594365
ddti_7c4903c6a3,ddti,otsu_iou50,0.7280541185833665
ddti_8c5641ea57,ddti,otsu_iou50,0.8081198646689222
ddti_54dd2b4e84,ddti,otsu_low_iou,0.5940732674807497
ddti_6410446b09,ddti,otsu_iou50,0.8036580813736469
ddti_3ab69060ab,ddti,otsu_low_iou,0.5612977983777521
ddti_57c3f20a3d,ddti,otsu_low_iou,0.5525881965051105
ddti_7506b6edef,ddti,det_miss,0.0
ddti_91d165a82a,ddti,otsu_iou50,0.8199711953912626
ddti_33e18d0483,ddti,otsu_iou50,0.9251522024591142
ddti_1f952975a3,ddti,otsu_iou50,0.6720722380908505
ddti_8afc9502ef,ddti,otsu_iou50,0.8175959903338406
ddti_221272fd42,ddti,otsu_iou50,0.8655891110165886
ddti_8de5d92d9d,ddti,otsu_low_iou,0.13228789706473662
ddti_2fdfab30c9,ddti,otsu_low_iou,0.05182389937106918
ddti_65ec60d09d,ddti,otsu_iou50,0.7846671734173092
ddti_489a74d797,ddti,otsu_iou50,0.7350939914658056
ddti_b40cf90f18,ddti,otsu_low_iou,0.5527047913446677
ddti_7c62604dba,ddti,otsu_iou50,0.6881887634372253
ddti_4b8d19d7a1,ddti,otsu_low_iou,0.04476766150358897
ddti_6ee55d72ab,ddti,det_miss,0.0
ddti_8dad71b90d,ddti,otsu_low_iou,0.6366024518388792
ddti_a8736f35aa,ddti,otsu_iou50,0.8074626865671641
ddti_feb395b080,ddti,det_miss,0.0
ddti_5dfcfa97df,ddti,otsu_iou50,0.688676426650732
ddti_29ec7eabab,ddti,det_miss,0.0
ddti_ad3b19cbcd,ddti,otsu_low_iou,0.12112882536192048
ddti_e9be59c1a3,ddti,otsu_low_iou,0.22535017852238395
ddti_3db3d34949,ddti,otsu_iou50,0.8852509652509652
ddti_fd470c1032,ddti,otsu_low_iou,0.3893132458023866
