variant,n_pred,n_gt,tp,fp,fn,precision,recall,f1
det@0.25,362,341,318,44,23,0.8784530386740331,0.9325513196480938,0.9046941678520626
pool@det+flip@0.25,368,341,320,48,21,0.8695652173913043,0.9384164222873901,0.9026798307475318
seg@0.25,376,341,322,54,19,0.8563829787234043,0.9442815249266863,0.8981868898186891
pool@det+seg@0.25,399,341,326,73,15,0.8170426065162907,0.9560117302052786,0.881081081081081
pool@det+multiscale@0.25,415,341,321,94,20,0.7734939759036145,0.9413489736070382,0.8492063492063492
pool@det+flip@0.1,443,341,326,117,15,0.7358916478555305,0.9560117302052786,0.8316326530612245
det@0.1,445,341,325,120,16,0.7303370786516854,0.9530791788856305,0.8269720101781172
pool@det+seg@0.1,487,341,331,156,10,0.6796714579055442,0.9706744868035191,0.7995169082125604
seg@0.1,494,341,331,163,10,0.6700404858299596,0.9706744868035191,0.7928143712574851
pool@det+flip@0.05,516,341,332,184,9,0.6434108527131783,0.9736070381231672,0.7747957992998834
det@0.05,544,341,332,212,9,0.6102941176470589,0.9736070381231672,0.7502824858757062
pool@det+multiscale@0.1,547,341,330,217,11,0.603290676416819,0.967741935483871,0.7432432432432433
pool@det+seg@0.05,591,341,335,256,6,0.5668358714043993,0.9824046920821115,0.7188841201716738
seg@0.05,630,341,331,299,10,0.5253968253968254,0.9706744868035191,0.6817713697219362
pool@det+multiscale@0.05,718,341,337,381,4,0.46935933147632314,0.9882697947214076,0.6364494806421152
pool@det+flip@0.01,853,341,338,515,3,0.3962485345838218,0.9912023460410557,0.5661641541038527
det@0.01,968,341,338,630,3,0.34917355371900827,0.9912023460410557,0.5164247517188694
pool@det+seg@0.01,1092,341,340,752,1,0.31135531135531136,0.9970674486803519,0.47452896022330776
seg@0.01,1296,341,339,957,2,0.26157407407407407,0.9941348973607038,0.4141722663408675
pool@det+multiscale@0.01,1324,341,339,985,2,0.25604229607250756,0.9941348973607038,0.4072072072072072
