method,uid,dataset,modality,dice,iou,hd95,assd,bf1,area_err,match_iou,n_gt,n_pred,n_miss,n_fp,pred_pt_err,rough_pt_err
yolo26n_seg,tg3k_908c13f9b7,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_908c13f9b7,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_908c13f9b7,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_908c13f9b7,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_908c13f9b7,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_908c13f9b7,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_78d0ed07ec,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,2,,,,
yolo26n_seg__detstats,tg3k_78d0ed07ec,tg3k,thyroid,,,,,,,,1,2,1.0,2.0,,
rough_otsu,tg3k_78d0ed07ec,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,2,,,,
rough_otsu__detstats,tg3k_78d0ed07ec,tg3k,thyroid,,,,,,,,1,2,1.0,2.0,,
refiner_gtbox,tg3k_78d0ed07ec,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_78d0ed07ec,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_78d0ed07ec,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_78d0ed07ec,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_6bf08f39fd,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_6bf08f39fd,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_6bf08f39fd,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_6bf08f39fd,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_6bf08f39fd,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_6bf08f39fd,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_ae85370c51,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_ae85370c51,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_ae85370c51,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_ae85370c51,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_ae85370c51,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_ae85370c51,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_6f5aa5d672,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
yolo26n_seg__detstats,tg3k_6f5aa5d672,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu,tg3k_6f5aa5d672,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu__detstats,tg3k_6f5aa5d672,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
refiner_gtbox,tg3k_6f5aa5d672,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_6f5aa5d672,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_6f5aa5d672,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_6f5aa5d672,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_f9fda28d02,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_f9fda28d02,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_f9fda28d02,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_f9fda28d02,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
rough_otsu_gtbox,tg3k_f9fda28d02,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
rough_otsu_gtbox__detstats,tg3k_f9fda28d02,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
yolo26n_seg,tg3k_76c4b34d96,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,0,,,,
yolo26n_seg__detstats,tg3k_76c4b34d96,tg3k,thyroid,,,,,,,,1,0,1.0,0.0,,
refiner_gtbox,tg3k_76c4b34d96,tg3k,thyroid,0.0,0.0,,,0.0,,0.0,1,1,,,,
refiner_gtbox__detstats,tg3k_76c4b34d96,tg3k,thyroid,,,,,,,,1,1,1.0,1.0,,
