dataset,uid,dice_refined,dice_rough
busi,busi_c4322390d6,,0.9277792804977009
busi,busi_a3108459ab,,0.8325683496308122
busi,busi_6ca345f4b1,,0.0
busi,busi_6ca345f4b1,,0.7752927327922682
ddti,ddti_98ad2517b3,,0.0236390977443609
ddti,ddti_98ad2517b3,,0.04414275262173807
ddti,ddti_56e6cc05a6,,0.7733135380903776
ddti,ddti_c835c6acf9,,0.1693689824259995
ddti,ddti_c835c6acf9,,0.40778747482497363
tg3k,tg3k_908c13f9b7,,0.0383638928067701
tg3k,tg3k_1525f39d23,,0.03662724151087371
tg3k,tg3k_78d0ed07ec,,0.0646046015541673
tg3k,tg3k_78d0ed07ec,,0.21372901678657075
tn3k,tn3k_ba14c8a36b,,0.7533876568990172
tn3k,tn3k_e955af1aac,,0.4857090842890952
tn3k,tn3k_e432497cb7,,0.4708029197080292
